Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SBGP;EMBRAER - Unidade Gavião Peixoto;GAVIÃO PEIXOTO;SP;"048°24'17""W";"21°45'52""S";609;;1800;30
SJ3D;FAZENDA SINIMBU;JABORANDI;BA;"045°09'51""W";"13°51'59""S";769;VFR;1500;22
SN33;Estância Buriti;AUTAZES;AM;"059°46'38""W";"03°32'40""S";31;VFR;500;18
SNIH;Fazenda Rio Negro;AQUIDAUANA;MS;"056°14'38""W";"19°34'11""S";109;VFR;900;18
SSVC;Fazenda Vazante;AQUIDAUANA;MS;"056°09'42""W";"20°03'48""S";124;VFR / IFR;600;20
SNQT;Fazenda Estrela do Sul;UMUARAMA;PR;"053°28'57""W";"23°47'18""S";369;VFR;850;30
SN88;FAZENDA CORDILHEIRA;MIRANDA;MS;"056°53'07""W";"19°57'13""S";146;VFR;1000;18
SJ4S;Fazenda Candoara;CANDÓI;PR;"052°15'32""W";"25°40'41""S";723;VFR;650;16
SJ37;Fazenda Colina Verde;COLINAS;MA;"044°09'37""W";"06°15'21""S";456;VFR;1200;20
SJ7T;FAZENDA BIPANDÔRA;ITAPORÃ;MS;"054°54'21""W";"22°00'02""S";407;VFR;600;18
SI8V;FAZENDA MANU;LÁBREA;AM;"065°42'54""W";"09°24'14""S";0;VFR;1200;18
SIXD;Fazenda da Paz;SANT'ANA DO LIVRAMENTO;RS;"055°34'04,77""W";"30°50'39,8""S";272;VFR;620;18
SIXE;Aeroclube de Eldorado do Sul;ELDORADO DO SUL;RS;"051°26'36,96""W";"30°03'01,04""S";10;VFR;1600;30
SII8;AERÓDROMO FAZENDA HORIZONTINA LESTE;TASSO FRAGOSO;MA;"045°45'05""W";"07°52'27""S";471;VFR;1000;18
SJEW;Usina Santa Helena;NOVA ANDRADINA;MS;"053°24'59""W";"21°58'34""S";389;VFR;1050;20
SSOW;Aeroclube de Frederico Westphalen;FREDERICO WESTPHALEN;RS;"053°24'12""W";"27°20'51""S";562;VFR;900;18
SDNY;Fazenda Ponte Serrada;CAMPO NOVO DO PARECIS;MT;"057°52'02""W";"13°53'03""S";599;VFR;800;20
SWHJ;Fazenda Santa Lúcia;BRASILÉIA;AC;"069°11'56""W";"10°44'47""S";291;VFR;410;18
SJPS;Fazenda Promissão;UNIÃO DO SUL;MT;"054°26'40""W";"11°47'30""S";364;VFR;1000;20
SWGU;Fazenda São Gabriel;BRASNORTE;MT;"058°14'57""W";"12°39'22""S";424;VFR;900;18
SNDS;Fazenda São Martinho;ILHA SOLTEIRA;SP;"051°15'20,3""W";"20°21'26,4""S";385;VFR;500;20
SNQM;Fazenda Formoso de Paraúna;PARAÚNA;GO;"050°35'45""W";"17°08'57""S";640;VFR;800;20
SJRJ;Fazenda Jacaré;CAMPO GRANDE;MS;"053°58'05""W";"21°30'07""S";355;VFR;700;18
SDYS;Aeroportobelo;PORTO BELO;SC;"048°37'54,76""W";"27°10'30,2""S";12;VFR;348;25
SSFC;Safra;DOM PEDRITO;RS;"054°37'18""W";"31°01'21""S";135;VFR;1000;18
SNWJ;Fazenda Rancho Grande;INDIAVAÍ;MT;"058°37'40,83""W";"15°12'20,8""S";443;VFR;900;40
SNWG;Fazenda Iporã;ITAQUIRAÍ;MS;"054°03'28""W";"23°35'13""S";180;;599;18
SWOQ;Fazenda Vista Verde;PALMEIRA DO PIAUÍ;PI;"044°23'05""W";"08°29'30""S";593;VFR;1100;18
SSOO;Fazenda Pontal da Cachoeira;CAMAPUÃ;MS;"054°17'42""W";"19°25'50""S";385;VFR;500;18
SDCZ;Fazenda Bom Jardim;MANGARATIBA;RJ;"044°05'30""W";"22°56'05""S";4;;600;23
SSKY;Fazenda Querência;TANGARÁ DA SERRA;MT;"058°21'32""W";"14°28'10""S";731;VFR;1200;20
SNFN;Fazenda Santa Fé;JARDINÓPOLIS;SP;"047°52'05""W";"20°56'15""S";530;VFR;1000;30
SWEU;Fazenda Americana;ITAMBACURI;MG;"041°42'52""W";"18°08'49""S";337;VFR;800;18
SJTN;Fazenda Triunfo;CANDEIAS DO JAMARI;RO;"063°40'39""W";"09°10'35""S";96;VFR;1300;18
SWZT;Fazenda do Brejo;PARAOPEBA;MG;"044°28'25""W";"19°15'18""S";747;;1240;23
SSWP;Palmares;DELFINÓPOLIS;MG;"046°56'43""W";"20°16'56""S";725;VFR;800;18
SJCU;SJ Agropecuária;CORRENTINA;BA;"045°53'20""W";"13°41'40""S";868;VFR;1100;20
SNUV;Rancho Bela Vista;SÃO JOSÉ DO RIO CLARO;MT;"056°38'15""W";"13°30'30""S";316;VFR;1700;23
SIHX;Fazenda Pau D'Alho;NOVA BANDEIRANTES;MT;"058°11'28""W";"09°24'22""S";240;VFR;1000;20
SIDN;Fazenda Figueiral;CORUMBÁ;MS;"055°24'50""W";"18°23'48""S";165;VFR;550;20
SWJZ;Sítio Primavera;ITAITUBA;PA;"055°26'48""W";"06°25'21""S";221;VFR;1200;18
SSON;Fazenda Joalice;TACURU;MS;"055°01'29""W";"23°47'14""S";404;;700;25
SDDA;Fazenda Santa Alaydes;CORUMBÁ;MS;"055°32'00""W";"18°27'35""S";162;VFR;550;20
SWJX;Fazenda Eldorado;GAÚCHA DO NORTE;MT;"053°32'39""W";"13°36'12""S";473;VFR;1200;20
SJWQ;Aeroclube de Birigui - CMTE Munir Djabak;BIRIGUI;SP;"050°18'21""W";"21°13'00""S";408;VFR;900;18
SNFG;Pista Fogoió;ITAITUBA;PA;"057°31'13""W";"05°21'32,1""S";119;VFR;700;18
SNNN;Fazenda Buriti II;ARINOS;MG;"045°59'51""W";"15°59'23""S";510;VFR;1100;23
SSOP;Pista Porquinho;ITAITUBA;PA;"057°37'16""W";"05°10'44""S";151;VFR;799;18
SDNB;Brasnorte;BRASNORTE;MT;"058°00'06""W";"12°05'58""S";323;VFR;1200;20
SNJE;Fazenda Fresadora;GONÇALVES DIAS;MA;"044°02'49""W";"05°02'43""S";152;VFR;1000;30
SIWX;Fazenda Comil;SAPEZAL;MT;"058°53'00""W";"13°55'34""S";639;VFR;1050;18
SSEM;Fazenda Girassol do Prata;SANTO ANTÔNIO DO LEVERGER;MT;"055°17'43""W";"16°12'24""S";678;VFR;700;20
SSZB;Fazenda Chalana;DIAMANTINO;MT;"057°09'29""W";"14°09'54""S";547;VFR;1000;18
SSFS;Fazenda Sapezal;SAPEZAL;MT;"058°46'56""W";"13°19'57""S";542;VFR;1200;20
SJHN;Fazenda Meio Século;ITAQUIRAÍ;MS;"054°11'10""W";"23°16'51""S";386;VFR;1150;23
SWYS;Usina Cerradão;FRUTAL;MG;"049°07'22""W";"19°55'47,6""S";520;VFR;1100;30
SJVB;Bugio;PEDRINHAS PAULISTA;SP;"050°43'54""W";"22°50'55""S";358;VFR;700;18
SDXZ;Fazenda Agrorosso;SÃO MIGUEL DO PASSA QUATRO;GO;"048°41'00""W";"16°55'44""S";1009;VFR;1000;30
SNEA;Estância Primavera;ALEGRETE;RS;"055°26'08""W";"30°03'29""S";147;VFR;575;20
SJZO;Zi Viol;CAMPO GRANDE;MS;"054°04'14""W";"20°58'18""S";503;VFR;700;18
SSSM;Matheus Lopes Maia da Silva;ITAMARATI;AM;"068°15'27""W";"06°24'56""S";119;VFR;1200;20
SWJF;Fazenda São Francisco;CORUMBÁ;MS;"056°53'59""W";"17°38'53""S";106;VFR;550;20
SSQG;Fazenda Bom Gosto ;RONDON DO PARÁ;PA;"048°57'27,3""W";"04°52'19,3""S";158;VFR;700;18
SJNO;Fazenda Bela Nova;ITAJU DO COLÔNIA;BA;"039°39'52""W";"15°01'59""S";217;VFR;500;18
SJDG;Jorge de Barros Carvalho;SALTO GRANDE;SP;"049°53'29""W";"22°53'15""S";476;VFR;600;18
SIEH;Fazenda Vô Chico;JALES;SP;"050°36'45""W";"20°18'44""S";469;VFR;900;20
SIFE;Fazenda Estiva;MARACAJU;MS;"055°05'39""W";"21°43'31""S";381;VFR;900;18
SICW;Fazenda Santa Fé;CAMPO ALEGRE DE GOIÁS;GO;"047°49'31""W";"17°27'18""S";966;VFR;650;18
SSGS;Fazenda São Pedro;ELDORADO;MS;"054°04'45,7""W";"23°39'51,2""S";305;VFR;500;20
SJQQ;Fazenda Terra Alta;PORTEL;PA;"050°59'20""W";"02°51'33""S";20;;840;18
SJFJ;Fazenda Jaraguá;TERENOS;MS;"054°48'29""W";"20°29'59""S";536;VFR;900;18
SIBK;Aeroclube de Bagé;BAGÉ;RS;"054°08'09""W";"31°19'40""S";222;VFR;570;30
SDRZ;Fazenda Vó Zita do Rio Vermelho;CORUMBÁ;MS;"056°52'52""W";"19°36'54""S";95;VFR;550;20
SDLR;Luiz Ribeiro Maia;TAPAUÁ;AM;"063°11'09""W";"05°38'10""S";51;VFR;1200;23
SNUD;Fazenda Arruda Ramos;PORTO ESPERIDIÃO;MT;"059°01'26""W";"15°47'20""S";281;VFR;900;18
SSYV;Fazenda Indaiá;CHAPADÃO DO SUL;MS;"052°54'06""W";"18°40'47""S";851;VFR;1000;18
SSNN;Fazenda Nova Fartura;PLANALTO DA SERRA;MT;"054°46'02""W";"14°26'27""S";457;VFR;799;20
